1101,291
221,448
1098,383
217,399
507,191
410,240
1036,449
208,241
469,548
1064,838
189,72
1198,812
107,483
900,206
902,325
430,7
801,834
1009,890
263,65
1255,379
328,502
537,703
724,763
126,521
788,127
544,484
110,36
243,28
1183,215
242,420
811,373
1228,325
567,880
798,250
5,264
165,362
140,126
915,596
835,806
1047,157
1123,222
72,654
1111,863
114,411
212,511
1071,603
1123,672
704,707
1191,558
944,137
1168,879
55,379
773,74
36,227
36,560
1048,856
209,151
1016,355
1012,428
528,616
902,390
489,532
350,528
790,18
666,759
224,191
761,560
571,602
329,698
330,806
1310,883
919,855
1250,119
1069,305
754,486
574,632
411,418
423,410
329,180
823,781
499,521
902,530
316,778
649,355
581,672
1101,603
1110,224
601,47
977,264
1297,340
743,294
463,343
652,134
73,446
5,508
946,891
698,609
1015,343
440,792
221,670
597,894
1153,763
798,187
946,521
1297,365
212,383
157,763
1228,894
939,494
1039,227
463,551
132,16
536,241
1071,561
1027,876
567,462
199,438
1009,789
271,299
1170,350
557,613
360,847
1309,84
58,474
1184,0
709,847
711,47
885,613
179,75
87,630
577,677
1098,511
1086,7
145,284
939,176
33,301
373,736
733,217
841,346
192,445
147,311
192,837
818,653
330,866
610,628
306,66
850,497
246,812
162,784
207,227
1084,131
738,424
728,318
900,318
851,217
1086,66
684,169
391,407
798,431
1121,341
189,588
441,845
736,184
999,582
1061,417
406,168
773,820
715,458
649,386
1215,529
773,191
960,528
1111,438
67,29
946,821
126,392
268,868
897,305
1196,35
1119,551
60,319
72,128
126,278
1305,264
1243,522
455,438
393,281
552,319
1280,838
733,677
30,61
800,819
412,756
246,504
507,759
776,114
73,224
1305,284
984,872
1233,604
835,75
692,334
254,240
1310,358
144,371
1066,123
1078,810
509,386
1245,710
107,819
114,483
678,308
873,847
1103,227
463,327
1168,250
889,147
830,402
522,127
107,115
0,883
805,620
559,60
1176,298
897,133
1059,758
0,252
985,322
30,838
1282,101
1102,241
1028,653
1175,327
957,378
42,733
1145,625
373,343
763,411
459,343
338,436
360,47
246,437
907,86
77,677
594,575
801,386
723,29
283,876
189,621
1110,866
408,156
475,88
251,758
738,31
643,315
301,4
739,154
728,206
1247,487
644,211
330,200
507,583
333,182
5,91
294,399
848,57
609,191
343,311
995,252
221,224
1208,663
406,138
1163,311
1230,88
393,165
5,162
1064,530
43,3
653,628
985,362
1183,255
974,267
290,331
1299,362
266,775
1064,122
1093,47
392,38
65,184
572,613
571,544
520,428
1067,866
470,19
783,886
363,86
