departure location: 45-535 or 550-961
departure station: 45-278 or 294-974
departure platform: 46-121 or 138-965
departure track: 38-149 or 173-949
departure date: 34-223 or 248-957
departure time: 32-64 or 79-952
arrival location: 49-879 or 905-968
arrival station: 47-306 or 323-973
arrival platform: 46-823 or 834-971
arrival track: 30-464 or 486-963
class: 40-350 or 372-965
duration: 47-414 or 423-950
price: 45-507 or 526-956
route: 42-779 or 799-970
row: 26-865 or 872-955
seat: 43-724 or 739-970
train: 25-914 or 926-958
type: 33-205 or 218-965
wagon: 43-101 or 118-951
zone: 45-844 or 858-970

your ticket:
173,191,61,199,101,179,257,79,193,223,139,97,83,197,251,53,89,149,181,59

nearby tickets:
949,764,551,379,767,144,556,835,638,591,653,872,198,825,690,527,260,396,873,333
438,627,99,622,408,671,695,561,695,121,706,144,55,985,566,706,255,595,680,407
879,876,665,928,874,436,766,328,620,267,995,54,430,503,86,936,489,305,64,688
613,812,756,258,341,765,91,551,859,379,447,842,148,501,293,766,93,532,939,406
349,340,670,248,813,557,249,949,506,656,100,19,204,409,944,659,777,843,712,801
438,52,529,556,672,115,570,633,820,770,603,837,260,251,723,621,381,182,494,431
948,673,202,330,552,258,406,184,177,239,774,185,638,386,834,608,835,636,805,92
573,643,267,378,178,821,442,141,872,826,565,626,667,860,405,610,407,688,705,695
818,724,446,459,145,373,859,346,702,441,446,753,320,426,664,177,619,712,739,342
607,499,226,80,719,682,556,486,346,221,597,936,573,84,760,671,395,413,454,768
743,504,830,195,413,698,93,375,565,695,947,636,602,681,436,265,614,604,632,706
463,353,944,569,175,535,616,452,141,621,84,335,302,275,550,438,173,617,843,645
685,400,777,752,839,86,180,754,231,450,342,341,440,57,271,202,494,591,223,707
838,147,937,451,96,265,488,345,334,871,767,450,340,576,816,335,143,445,339,379
502,566,121,743,99,909,876,265,204,799,566,387,672,102,713,559,773,770,571,609
428,712,575,759,708,272,629,862,569,856,402,82,424,837,336,643,841,944,603,436
273,987,944,534,862,943,267,741,562,327,193,838,822,933,860,933,459,811,622,383
423,937,320,374,801,942,490,257,646,724,558,507,198,601,713,719,667,260,585,948
404,679,328,916,688,615,345,688,556,146,452,306,89,742,808,141,816,85,938,457
180,335,648,810,119,202,393,268,921,177,92,462,605,615,248,599,394,303,269,599
941,261,695,643,381,830,753,705,84,694,305,61,556,256,599,653,388,566,626,759
148,340,708,139,625,680,713,695,583,356,182,457,458,95,841,496,591,347,392,670
534,434,615,686,348,621,832,275,380,667,811,590,389,585,528,652,862,617,778,535
81,653,435,681,584,455,261,928,121,863,263,807,599,593,691,320,495,329,879,380
739,632,692,639,702,94,274,910,707,758,196,934,490,189,169,333,807,396,448,719
590,588,570,617,910,928,304,663,531,470,203,505,277,669,841,593,668,693,338,671
938,259,221,406,579,390,619,327,824,601,502,529,573,912,930,396,940,139,501,819
633,326,149,590,618,581,583,195,755,678,746,717,527,326,557,775,330,518,807,192
438,722,427,758,324,251,757,753,297,300,438,304,588,633,254,823,835,766,977,195
335,430,937,298,266,258,331,551,747,644,575,120,373,629,652,583,777,131,804,941
427,663,220,864,378,80,945,695,7,584,679,375,566,176,300,631,932,558,639,681
